Title,Author,Translator,Language ,Publication_Year,Publisher,Place_of_publication
"The dangers of British India, from French invasion and missionary establishments. To which are added, some account of the countrires between the Caspian sea and the Ganges; a narrative of the revolutions which they have experienced subsequent to the expedition of Alexander the Great; and a few hints respecting the defence of the British frontiers in Hindustan","Hopkins, David",N/A,English ,1809,"Black, Parry, and Kingsbury",London
"A compend of history, from the earliest times; comprehending a general view of the present state of the world, with the respect to civilization, religion and government; and a brief dissertation on the importance of historical knowledge","Whelpy, Samuel",N/A,English ,1808,Kimber and Conrad,Philadelphia
"The dangers of British India, from French Invasion and missionary establishments","Hopkins, David",N/A,English ,1808,"Black, Parry, and Kingsbury",London
Histoire de la décadence et de la chute de l'Empire romain / traduite,"Gibbon, Edward","Cantwel, M.",French,1795,Chez Maradan,Paris
"Instituts politiques et militaires de Tamerlan, proprement appellé Timour, écrits par lui-même en mogo",Timur,"Langles, Louis",French,1787,Née de la Rochelle,Paris
A chronological abridgement of the Russian history,"Lomonosov, Mikhail Vasilʹevich","Forster, J.M.A.",English ,1767,T. Snelling,London
Histoire universelle : depuis le commencement du monde jusqu'a present,N/A,N/A,French,1761,chez Arkstée,Amsterdam
"Histoire générale des Huns, des Turcs, des Mogols, et des autres Tartares occidentaux, &c. avant et depuis Jésus-Christ jusqu'à présent","Guignes, Joseph de",N/A,French,1758,Desaint & Saillant,Paris
"Histoire générale des huns, des turcs, des mogols, et des autres tartares occidentaux","Guignes, Joseph de",N/A,French,1756,Desaint & Saillant,Paris
Histoire du grand Genghizcan : premier empereur des anciens mogols et Tartares,"Pétis de La Croix, François",N/A,English ,1710,Chex la veuve Jombert,Paris
